ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
18,5,7,5,6,6,7,4,0,0,5,4,0,2,3,1,1,3,2,0,0,4,2,1,1,0,5,6,0,3,2,4,2,0,1,0,5
19,2,5,8,4,6,5,7,3,0,0,6,4,0,2,3,1,1,2,2,0,0,4,2,1,1,0,5,5,1,3,0,4,2,2,1,0
20,2,4,5,7,4,4,4,5,3,0,1,6,3,0,3,3,1,2,2,2,0,0,4,2,2,1,0,5,4,1,0,0,4,2,2,1
21,4,4,4,3,6,4,5,3,6,3,1,1,6,3,0,3,3,1,2,2,2,0,0,4,2,2,1,0,5,3,2,0,0,4,2,2
22,5,4,3,3,2,6,3,4,4,6,4,1,1,7,3,0,4,3,1,2,2,2,0,0,4,2,2,1,0,4,2,2,0,0,4,2
23,1,4,5,3,4,3,6,4,3,5,8,4,1,1,6,3,0,4,3,0,2,2,2,0,1,4,2,1,1,1,2,2,2,0,0,4
24,5,0,4,5,3,4,2,6,4,4,5,7,3,1,2,6,2,0,5,1,0,2,2,3,1,2,4,2,1,1,0,2,2,3,0,1
25,3,4,1,4,5,6,4,2,6,3,6,5,7,3,1,4,5,2,2,4,1,0,2,2,3,1,2,5,2,1,1,0,2,1,3,1
26,4,1,4,0,4,5,3,4,3,5,5,7,6,7,3,1,7,5,1,2,3,2,0,2,1,3,2,2,5,3,3,1,0,2,1,3
27,4,3,1,4,0,4,7,6,4,2,9,6,7,10,6,4,3,7,5,3,1,2,1,0,2,0,3,1,2,5,1,2,1,0,2,0
28,1,5,3,1,4,0,3,5,3,4,3,9,4,8,8,6,4,3,6,6,2,1,3,1,0,3,0,2,2,2,2,1,2,2,0,3
29,3,3,4,3,1,4,0,4,7,3,5,3,8,5,7,7,7,6,3,7,7,1,4,3,2,1,5,0,2,2,6,1,1,2,2,1
30,3,3,4,3,4,1,3,0,3,5,3,7,3,4,5,6,7,7,6,3,8,8,1,4,4,2,3,3,1,3,9,9,1,3,2,2
31,1,2,3,3,2,2,1,3,0,3,6,3,7,3,3,4,8,7,7,6,3,8,7,1,5,5,3,2,3,1,3,9,9,1,3,3
32,2,2,2,3,3,2,3,2,1,0,3,6,3,7,3,2,7,7,5,7,5,3,7,8,2,4,4,2,2,4,5,3,9,10,1,3
33,2,1,2,2,3,3,2,3,2,1,2,5,6,4,8,3,2,7,5,6,7,4,3,6,7,1,5,3,2,3,9,4,3,7,8,2
34,3,1,1,2,2,1,2,3,3,2,1,2,4,6,4,8,3,1,6,6,7,8,4,3,8,7,2,4,3,1,9,6,4,2,7,8
35,2,3,1,1,2,1,1,2,4,4,3,1,3,4,6,4,7,3,2,6,4,6,5,4,3,7,8,1,3,2,4,9,5,4,2,7
36,2,2,3,1,1,2,1,1,4,3,5,3,1,4,3,5,6,6,3,3,6,4,5,5,4,4,7,9,2,2,6,4,9,5,4,4
37,6,2,2,3,1,1,2,1,2,4,3,4,1,1,4,2,5,6,6,5,5,6,4,4,5,5,2,6,8,2,8,6,4,6,5,4
38,3,5,3,1,3,2,1,2,3,1,4,3,3,1,1,4,2,5,6,6,5,5,5,4,4,3,5,2,5,7,3,6,6,5,6,3
39,3,3,5,2,1,2,1,2,2,3,2,4,3,3,1,1,4,2,5,6,6,5,6,5,5,4,3,4,2,5,8,3,7,5,5,6
40,2,2,4,6,3,1,3,2,1,2,3,2,5,2,5,1,2,4,2,4,7,6,7,8,5,4,4,3,4,2,6,6,3,8,5,5
41,1,5,2,3,6,3,2,2,2,2,3,3,2,4,2,6,0,3,3,2,4,7,6,6,8,5,5,5,3,5,4,7,5,4,8,5
42,3,0,5,3,3,4,3,2,3,2,2,3,3,2,4,1,5,0,3,3,3,4,8,8,4,8,4,6,6,3,0,4,7,8,4,9
43,3,3,0,4,3,3,3,3,2,3,3,2,3,3,2,4,1,5,0,3,3,2,4,6,9,4,9,4,6,6,3,1,4,6,8,4
44,4,3,2,0,4,3,3,3,3,2,2,3,2,3,3,2,4,1,4,2,2,4,1,5,6,10,3,11,5,5,2,4,1,5,6,11
45,4,5,3,2,0,4,2,3,3,3,3,3,3,1,3,3,2,4,1,4,2,2,4,1,5,7,10,3,10,5,1,2,3,1,5,7
46,5,3,3,3,3,1,4,2,3,3,4,3,3,3,1,3,3,2,4,3,5,2,1,4,1,5,7,11,4,10,5,1,2,4,1,5
47,5,4,4,3,3,3,1,3,3,3,5,4,2,3,3,0,3,3,2,4,3,5,2,0,4,2,5,6,10,4,3,5,1,1,4,2
48,3,5,4,3,3,3,3,1,3,3,4,6,4,2,3,3,0,3,3,2,4,3,5,2,0,4,3,5,7,8,4,3,5,1,1,4
49,3,3,5,4,3,3,3,3,2,3,2,4,4,1,2,3,3,0,3,3,2,4,6,5,1,0,4,1,6,7,2,3,3,10,1,1
50,1,3,3,5,4,3,3,4,3,2,4,2,4,4,1,2,3,3,1,3,3,2,4,6,5,2,0,4,1,7,3,2,3,5,9,2
51,4,1,3,3,4,5,4,4,4,3,2,4,2,4,3,1,1,3,3,2,3,3,2,4,5,5,2,1,3,1,3,3,2,3,5,5
52,2,4,1,3,3,4,5,3,3,4,4,2,4,2,4,3,1,1,4,3,2,3,3,4,4,4,5,2,2,3,3,3,3,4,3,4
53,5,2,4,1,3,3,3,4,3,3,5,4,2,4,2,3,2,1,1,4,3,5,3,4,5,3,4,5,2,4,3,6,3,4,4,3
54,6,5,2,4,1,3,3,3,4,3,4,5,4,2,4,2,3,2,1,3,4,4,5,3,4,5,3,4,5,2,4,4,6,3,4,4
55,1,5,5,2,4,1,3,3,3,4,2,4,5,4,2,4,2,3,3,1,2,7,4,6,3,4,5,3,4,6,3,8,4,7,3,4
56,2,1,5,6,2,3,1,3,3,3,5,2,4,6,4,2,4,2,3,3,2,2,7,5,7,3,4,5,2,4,2,2,8,5,7,3
57,2,2,1,5,6,2,3,1,3,3,3,5,2,5,5,5,2,4,2,3,3,2,2,6,5,9,3,4,5,2,3,2,2,6,5,10
58,5,3,2,1,6,6,2,3,1,3,4,3,5,2,5,5,5,3,4,2,3,4,2,2,6,5,10,3,5,6,3,4,2,2,6,5
59,4,5,3,2,1,6,6,2,2,3,4,4,3,5,2,4,7,4,3,4,2,3,4,2,2,6,5,9,3,5,2,4,4,2,2,6
60,0,4,5,3,2,0,6,6,2,2,3,3,4,3,4,3,4,7,5,2,3,2,3,4,2,4,6,5,9,3,4,2,4,4,2,4
61,4,0,4,5,3,2,0,6,6,2,3,5,3,4,3,4,2,5,7,5,2,3,2,5,4,2,4,6,5,9,2,4,2,5,4,2
62,0,4,0,4,5,3,3,0,6,6,2,3,5,3,3,3,4,3,5,7,5,1,2,2,5,4,3,4,6,5,5,2,4,2,6,4
63,1,0,3,0,4,5,3,2,0,6,8,2,3,5,3,4,3,4,3,5,7,5,1,2,2,5,4,3,4,5,7,5,2,3,2,5
64,1,1,0,3,0,3,6,3,2,1,6,8,2,4,5,3,4,3,4,3,5,6,5,1,2,2,5,3,3,4,5,8,5,2,3,2
65,5,1,1,0,2,0,3,6,4,2,1,6,8,1,4,5,3,4,3,4,2,4,6,5,1,2,2,5,3,3,2,4,8,5,2,3
66,4,6,1,1,0,2,0,3,6,4,2,1,5,7,0,4,6,3,4,3,4,2,4,6,5,1,1,2,5,4,3,2,4,7,5,2
67,0,4,6,1,0,0,3,1,2,8,4,2,1,5,6,0,4,5,3,4,2,3,1,4,6,4,1,1,2,5,2,2,2,4,7,5
68,3,0,4,6,1,1,0,2,0,2,8,3,2,1,5,6,1,4,3,3,4,2,3,1,4,6,4,1,1,2,5,2,1,1,4,6
69,1,2,1,4,6,1,0,0,2,0,2,8,3,3,1,5,6,1,3,3,3,3,2,3,1,4,6,5,2,3,3,4,2,2,1,4
70,4,2,2,0,4,6,1,1,0,3,0,2,9,0,3,0,6,6,1,3,4,3,3,2,2,1,4,6,6,1,4,3,4,2,2,1
71,8,4,1,2,0,4,6,1,0,0,4,0,2,8,0,3,2,6,6,0,3,3,3,3,2,1,1,4,6,6,3,3,3,4,2,1
72,0,8,3,1,2,0,4,7,1,0,1,4,0,2,8,0,3,2,6,6,0,3,3,3,3,3,1,1,4,6,0,3,3,3,4,3
73,4,1,8,3,2,2,0,4,6,1,1,1,3,0,0,8,1,3,1,6,6,0,2,2,3,4,3,1,1,4,6,0,3,3,3,5
74,5,5,1,8,3,1,2,0,4,6,1,1,1,3,0,0,8,2,3,1,5,6,0,2,3,3,5,3,1,1,6,6,0,2,3,3
75,3,3,4,1,8,3,1,2,0,4,5,1,1,1,3,0,0,7,2,3,1,5,6,0,2,3,3,4,4,2,1,6,7,0,2,3
76,2,3,3,4,0,8,2,1,2,0,4,4,1,1,1,3,2,0,6,3,3,1,5,5,0,2,3,3,4,1,3,1,6,6,0,2
77,2,2,3,3,4,0,8,2,1,2,0,4,4,1,1,1,3,2,1,5,3,3,1,4,5,0,2,4,3,4,3,3,1,3,6,0
78,3,2,2,3,3,4,0,8,2,1,2,0,4,4,1,0,0,2,2,2,5,3,2,1,4,5,0,2,4,1,4,3,3,1,3,6
79,4,2,2,2,4,3,4,0,8,2,1,2,0,4,5,1,0,0,2,1,2,4,3,2,1,2,6,0,2,4,2,3,2,2,1,3
80,6,5,2,2,2,4,3,4,0,8,3,1,1,0,4,6,1,0,0,3,1,2,3,2,2,1,2,6,1,2,1,2,2,2,2,1
81,3,6,5,2,2,2,4,3,4,0,7,3,1,2,0,5,6,1,1,0,2,1,2,5,2,2,1,2,6,1,2,1,1,2,2,2
82,1,3,6,5,2,3,2,4,3,4,0,7,3,1,2,0,4,6,1,1,0,2,2,3,4,4,2,1,3,6,0,2,1,2,7,2
83,3,1,4,6,5,3,2,2,3,3,5,1,7,3,3,2,0,4,6,1,2,0,2,2,2,3,4,1,4,2,2,0,2,2,2,3
84,1,3,1,2,6,5,4,3,2,2,2,4,1,7,3,3,2,0,4,7,1,2,0,4,3,2,3,4,1,1,1,1,0,3,2,1
85,2,2,2,2,1,1,1,1,2,2,2,1,4,0,7,4,5,2,0,4,3,1,2,0,3,2,2,2,3,1,3,1,2,0,3,2
86,2,2,1,2,1,1,1,1,1,2,2,2,0,4,0,6,4,1,2,0,3,3,1,2,2,1,1,2,4,2,3,3,1,2,0,2
87,2,1,1,1,1,1,1,1,1,1,0,1,2,0,4,0,5,3,1,0,0,2,3,1,3,2,2,1,3,4,0,2,3,1,2,0
88,1,1,1,1,1,1,1,1,1,1,3,0,1,3,0,4,0,5,5,1,0,2,2,3,1,3,2,3,2,3,0,0,2,3,1,2
89,1,1,1,1,1,0,0,1,1,1,4,3,1,1,3,0,4,0,6,3,2,1,1,2,1,1,1,2,2,0,1,1,0,2,1,1
90,2,2,2,2,1,1,1,1,2,2,0,3,2,1,0,2,1,4,0,5,3,2,1,1,1,0,1,0,2,2,2,1,0,1,2,1
91,1,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,1,1,4,0,6,1,1,1,0,2,0,1,0,2,6,1,1,0,1,2
92,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,1,1,4,0,4,1,0,0,0,3,0,2,0,1,4,1,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,4,0,3,1,0,0,0,1,1,0,3,0,4,1,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,2,0,1,1,0,0,0,1,0,1,2,0,1,1,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,0,1,2,0,0,0,1,0,1,3,0,1,2
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,1,2,0,1,0,1,0,0,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
